create_time,bid,bn,campaign_id,cd,custom_track,de,dl,dt,ed,ev,group_id,id,job_id,md,publisher_id,rl,sr,ts,tz,ua,uid,utm_campaign,utm_content,utm_medium,utm_source,utm_term,v,vp
aa327440-0c00-11ed-baf0-967d65f43416,0,Chrome 103,222,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/601800a53111c9bfeef6bd826664a0bff0958d79?param1=1527&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1527"",""publisherId"":""1""}",2,,aa327440-0c00-11ed-baf0-967d65f43416,1527,true,1,,1366x768,2022-07-25 10:00:51.788,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1,1366x625
ae7573f0-0975-11ed-8f99-9ad075a95806,,Chrome 102,,24,click,UTF-8,http://localhost:4200/candidate-portal/job?what=a&where=,CandidatePortal,"{""customEvent"":""click"",""jobId"":731,""publisherId"":0,""userId"":97}",2,,ae7573f0-0975-11ed-8f99-9ad075a95806,731,true,0,http://localhost:4200/candidate-portal/,1920x1080,2022-07-22 04:20:55.843,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-ok78d38x-l5j7ka8p,,,,,,1,1920x976
79cc0320-0c00-11ed-80f5-7fe07e985a27,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/1530?jobId=1530&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""1530"",""publisherId"":""1"",""stayed_alive"":10}",2,,79cc0320-0c00-11ed-80f5-7fe07e985a27,1530,true,1,,1366x768,2022-07-25 09:59:30.565,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1,1366x568
11115a80-0c8f-11ed-a430-45223783aa90,0,Chrome 103,222,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/4ea324b2fc44779ed415e2aa4e436b4a301e321c?param1=1532&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1532"",""publisherId"":""1""}",2,,11115a80-0c8f-11ed-a430-45223783aa90,1532,true,1,,1366x768,2022-07-26 03:00:13.410,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-t8bqaiy4-l61kszmf,,,,,,1,1366x625
95ae1eb0-0193-11ed-b0b5-d94ce1e95623,,Chrome 103,,24,click,UTF-8,http://localhost:4200/candidate-portal/job/192,CandidatePortal,"{""customEvent"":""click"",""jobId"":192,""publisherId"":0,""userId"":123}",2,,95ae1eb0-0193-11ed-b0b5-d94ce1e95623,192,true,0,http://localhost:4200/candidate-portal/job,1920x1080,2022-07-12 03:34:49.786,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-rrc3k5vd-l4o0b4yy,,,,,,1,1367x929
829a8c40-0310-11ed-96ad-c2da4b40af78,,Chrome 76,,24,alive,UTF-8,http://150.136.2.86/candidate-portal/job/968,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""968"",""publisherId"":0,""stayed_alive"":10}",2,,829a8c40-0310-11ed-96ad-c2da4b40af78,968,true,0,,1366x768,2022-07-14 01:00:46.209,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",1-xbcifb5n-l5kbrf1j,,,,,,1,1366x768
fdd6f450-fea3-11ec-bd70-7b10a147884a,2,Chrome 103,4,24,click,UTF-8,http://150.230.186.232/candidate-portal/job/a9df1f103a849b2071e827e951a7c69cc917699a?r=&param1=98&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""98"",""publisherId"":""1""}",2,,fdd6f450-fea3-11ec-bd70-7b10a147884a,98,true,1,,1366x768,2022-07-08 09:54:44.722,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-c5v39kv8-l5c94dee,,,,,,1,1366x625
2f9027f0-0188-11ed-8922-52abfbbb8e51,,Chrome 103,,24,click,UTF-8,http://150.136.2.86/candidate-portal/job/5,CandidatePortal,"{""customEvent"":""click"",""jobId"":""5"",""publisherId"":0,""userId"":116}",2,,2f9027f0-0188-11ed-8922-52abfbbb8e51,5,true,0,,1920x1080,2022-07-12 02:13:13.804,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-0d5ciljy-l4pdlaxd,,,,,,1,1455x929
306f3910-09a6-11ed-ae59-0046bd3e43bc,,Chrome 103,,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/188?jobId=188&publisherId=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""188"",""publisherId"":0}",2,,306f3910-09a6-11ed-ae59-0046bd3e43bc,188,true,0,,1536x864,2022-07-22 10:08:10.316,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-c47yjfpn-l5wa44hc,,,,,,1,981x753
b46a49a0-0c8d-11ed-b309-9ab295a20bbb,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/98?jobId=98&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""98"",""publisherId"":""1"",""stayed_alive"":10}",2,,b46a49a0-0c8d-11ed-b309-9ab295a20bbb,98,true,1,,1366x768,2022-07-26 02:50:28.489,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-t8bqaiy4-l61kszmf,,,,,,1,1366x625
4fb222f0-0b5a-11ed-b36a-1364f8a8be80,1,Chrome 103,48,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,,1,34,4fb222f0-0b5a-11ed-b36a-1364f8a8be80,188,true,1,,1366x768,2022-07-24 14:10:03.047,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-zof0i457-l5ze6uuv,,,,,,1,1366x625
